WKN;ARIVA_NAME;UNTERNEHMENSPROFIL
890218;airesis-aktie;Airesis SA ist eine Private-Equity- und Risikokapitalgesellschaft, die sich auf Early-, Mid- und Late-Venture-, Emerging Growth-, Growth-Capital-, Turnaround-, Buyout- und Pre-IPO-Transaktionen spezialisiert hat. Das Unternehmen investiert in kleine und mittelgroße Unternehmen. Sie investiert vorzugsweise in Sportmarken. Das Unternehmen tätigt auch Investitionen in den Bereichen Immobilien und Marken. Bei Investitionen in der Entwicklungsabteilung strebt das Unternehmen einen Sitz im Vorstand seiner Portfoliounternehmen an. In der Regel investiert es 3 Mio. USD und hält seine Investitionen für drei bis sieben Jahre in seinen Portfoliounternehmen. In der Finanzabteilung erwägt das Unternehmen, bis zu 0,7 Mio. USD in etwa 15 bis 20 Unternehmen pro Jahr zu investieren, wobei ein Ausstieg zwischen einem und zwei Jahren vorgesehen ist. Das Unternehmen zieht es vor, Mehrheitsaktionär zu sein und eine Mehrheitsbeteiligung an seinen Portfoliounternehmen zu übernehmen. Es tätigt bilanzwirksame Investitionen. Das Unternehmen war zuvor unter dem Namen HPI Holding SA bekannt. Airesis SA wurde 2004 gegründet und hat seinen Sitz in Clarens, Schweiz, sowie ein weiteres Büro in Nyon, Schweiz.
A0LGDU;hansard_global-aktie;Hansard Global plc ist ein auf langfristige Spareinlagen spezialisierter Anbieter, der Spar- und Anlageprodukte für Investoren, Institutionen und Vermögensverwaltungsgruppen weltweit anbietet. Das Unternehmen bietet fondsgebundene Lebensversicherungen mit regelmäßiger oder einmaliger Prämie und Investmentverträge, Verwaltungsdienstleistungen sowie Marketing- und Entwicklungsdienstleistungen an. Das Unternehmen betreibt auch Hansard OnLine, ein Vertriebs- und Geschäftsverwaltungsinstrument, das von unabhängigen Finanzberatern (IFAs) und Kunden genutzt wird. Es vertreibt seine Produkte sowohl über IFAs als auch über das Privatkundengeschäft von Finanzinstituten. Das Unternehmen wurde 1970 gegründet und hat seinen Hauptsitz in Douglas (Vereinigtes Königreich).
A0ET25;takarek_mtg_bk_na_a-aktie;Takarek Mortgage Bank Co. Plc ist eine ungarische Bankengruppe, die sich auf Hypothekenvergabe und Immobilienfinanzierung spezialisiert hat. In geringerem Umfang bietet das Kreditinstitut auch kommerzielle Bankprodukte an. Zur Gruppe gehören die FHB Commercial Bank Ltd. (bietet kommerzielle Bankprodukte), FHB Life Annuity Ltd. (wendet sich mit Altersvorsorgeprodukten überwiegend an Senioren), FHB Real Estate Ltd. und FHB Real Estate Leasing Ltd. (beide decken den Immobilienbereich des Kreditinstituts ab). Im Jahr 2011 fusionierte die Allianz Hungaria Insurance Co. Ltd. mit dem ungarischen Kreditinstitut und ging in der FHB Bankengruppe auf. Hauptsitz der Gruppe ist Budapest. Copyright 2021 facunda financial data GmbH
547930;varengold_bank-aktie;Die Varengold Bank AG bietet in Deutschland, dem Vereinigten Königreich und Bulgarien verschiedene Produkte und Dienstleistungen im Bereich Markt- und Transaktionsgeschäft sowie im Commercial Banking an. Das Unternehmen bietet Tages- und Festgeldeinlagen, Kreditvergabe und Fronting Services, internationalen Zahlungsverkehr, Handels- und Exportfinanzierung, Lombardkredite und strukturierte Finanzierungen, Bankgarantien sowie Fremd- und Eigenkapitalmarktprodukte. Sie bedient private und gewerbliche Kunden. Das Unternehmen war früher als Varengold Wertpapierhandelsbank AG bekannt und änderte 2013 seinen Namen in Varengold Bank AG. Die Varengold Bank AG wurde 1995 gegründet und hat ihren Hauptsitz in Hamburg, Deutschland.
A1X3YY;bastei_luebbe-aktie;"Die Bastei Lübbe AG ist ein Medienunternehmen, das in Deutschland, Österreich, Luxemburg und der Schweiz Bücher, Hörbücher, E-Books und andere digitale Produkte in den Genres Belletristik und populärwissenschaftliche Inhalte veröffentlicht. Das Unternehmen ist in den Segmenten ""Bücher"" und ""Romanhefte"" tätig. Das Segment Bücher bietet eine Reihe von Printprodukten unter den Labels Lübbe, Lübbe Life, Quadriga, Eichborn, Baumhaus, Boje, ONE, LYX, LYX.audio, be-books und Lübbe Audio an. Das Segment Romanhefte bietet Romanhefte unter den Namen Der Bergdoktor, Jerry Cotton, Geisterjäger John Sinclair und the westerns an. Das Unternehmen ist auch in der Lizenzierung seiner Rechte tätig. Die Bastei Lübbe AG wurde 1953 gegründet und hat ihren Sitz in Köln, Deutschland."
A3CMGN;hgears_ag-aktie;Die hGears AG entwickelt, fertigt und liefert weltweit Präzisionskomponenten und Subsysteme sowie Systemlösungen. Das Unternehmen bietet Zahnräder, Kettenräder, Wellen, Strukturbauteile, komplette Getriebe und andere funktionskritische Komponenten an. Seine Produkte werden in E-Bikes, Elektro- und Hybridfahrzeugen sowie in Elektro- und Gartengeräten eingesetzt. Das Unternehmen wurde 1958 gegründet und hat seinen Hauptsitz in Schramberg, Deutschland.
884304;bed_bath_beyond-aktie;Bed Bath & Beyond Inc. betreibt zusammen mit ihren Tochtergesellschaften eine Kette von Einzelhandelsgeschäften. Das Unternehmen verkauft eine Reihe von Haushaltswaren, darunter Bettwäsche und verwandte Artikel, Badartikel und Küchentextilien, sowie Heimtextilien, wie Küchen- und Tischartikel, edle Tischartikel, grundlegende Haushaltswaren, allgemeine Heimtextilien, Verbrauchsartikel und verschiedene Jugendprodukte. Das Unternehmen betreibt Geschäfte unter dem Namen Bed Bath & Beyond, buybuy BABY, Harmon, Harmon Face Values oder Face Values. Außerdem bietet es Produkte über verschiedene Websites und Anwendungen an, darunter bedbathandbeyond.com, bedbathandbeyond.ca, harmondiscount.com, facevalues.com, buybuybaby.com, buybuybaby.ca und decorist.com. Darüber hinaus betreibt das Unternehmen Decorist, eine Online-Plattform für Inneneinrichtung, die personalisierte Dienstleistungen für die Gestaltung von Wohnungen anbietet. Bed Bath & Beyond Inc. wurde 1971 gegründet und hat seinen Hauptsitz in Union, New Jersey.
FPH900;francotyp_postalia-aktie;"Die Francotyp-Postalia Holding AG ist Anbieter von Geschäftspost und digitalen Lösungen für Unternehmen und Behörden im In- und Ausland. Das Unternehmen entwickelt, fertigt, vermietet und vertreibt Frankiersysteme. Darüber hinaus vertreibt sie Verbrauchsmaterialien wie Bänder oder Tintenpatronen und bietet Softwarelösungen für das Kostenstellenmanagement sowie Teleportodienstleistungen an. Darüber hinaus sammelt das Unternehmen Post ein, sortiert sie nach Postleitzahlen und liefert sie in Chargen an eine regionale Niederlassung der Deutschen Post oder einen alternativen Postverteiler. Darüber hinaus bietet es Hybridpostdienste und Lösungen für die digitale Kommunikation, Lösungen für die Posteingangsverarbeitung und digitale Kommunikationsdienste mit Produkten wie Signatursoftware, FP Sign, einer cloudbasierten elektronischen Lösung für die rechtsverbindliche digitale Unterzeichnung und den Austausch von Verträgen und Dokumenten, sowie TransACTmail, einem Online-Briefdienst; Vision 360, eine Software, die Frankiermaschinenkunden eine 360-Grad-Sicht auf ihre Portokosten ermöglicht, De-Mail, die Behörden den elektronischen Austausch von Dokumenten ermöglicht, FP Parcel Shipping, das Kunden die Auswahl des Versanddienstleisters für ihre Pakete ermöglicht, Neomonitor, Backoffice- und Frontoffice-Automatisierungslösungen sowie Internet-of-Things-Lösungen. Die Francotyp-Postalia Holding AG wurde 1923 gegründet und hat ihren Hauptsitz in Berlin, Deutschland."
A0LR4P;hwa-aktie;Die HWA AG entwickelt, konstruiert und produziert Technik für Rennsport- und Personenkraftwagen in Deutschland, Australien und den Vereinigten Staaten. Das Unternehmen ist in zwei Segmenten tätig: Motorsport und Fahrzeuge/Fahrzeugkomponenten. Das Unternehmen nimmt unter dem Namen HWA RACELAB an der FIA Formel-2-Meisterschaft und der FIA Formel-3-Meisterschaft teil und ist in der ABB FIA Formel-E-Meisterschaft als Rennteam für das Mercedes-Benz EQ Formel-E-Team vertreten. Das Unternehmen produziert außerdem Sportwagen mit Straßenzulassung in limitierter Auflage sowie die Fahrzeuge Mercedes-AMG GT4 und Mercedes-AMG GT3 MY. Darüber hinaus bietet es Fahrzeugkomponenten, Ersatzteile, mechanische Montage, Modellbau, Logistik, Kundendienst und andere Dienstleistungen für die Automobilindustrie an. Das Unternehmen wurde 1998 gegründet und hat seinen Hauptsitz in Affalterbach, Deutschland.
A2QH97;lion_e_mobility-aktie;Die LION E-Mobility AG ist eine im Jahr 2011 gegründete, börsennotierte Schweizer Holding mit strategischen Investments im E-Mobility Sektor, insbesondere im Bereich elektrische Energiespeicher und Lithium-Ionen-Batteriesystemtechnik. Das Unternehmen besitzt 100% der deutschen LION Smart GmbH, einem Entwickler von Batteriepacks und Batterie-Management-Systemen. Die LION Smart GmbH hält zudem einen 30% Anteil an der TÜV SÜD Battery Testing GmbH, einem erfolgreichen Joint Venture mit der TÜV SÜD AG. Die LION E-Mobility AG ist außerdem 100%ige Eigentümerin der LION E-Mobility North America Inc. Copyright 2021 facunda financial data GmbH
783057;daldrup_soehne-aktie;Die Daldrup & Söhne Aktiengesellschaft erbringt zusammen mit ihren Tochtergesellschaften Bohr- und Umweltdienstleistungen in Deutschland und Mitteleuropa. Das Unternehmen erbringt Bohrdienstleistungen für oberflächennahe Geothermie, wie z.B. Wärmekollektoren und Erdwärmesonden zur Wärme- oder Kältegewinnung, und Bohrdienstleistungen für tiefe Erdwärmesonden zur Wärmegewinnung sowie hydrothermale und petrothermale Systeme zur Stromerzeugung und Wärmegewinnung. Das Unternehmen befasst sich auch mit dem Bohren von Brunnen für die Beschaffung von Trink-, Brauch-, Heil- und Mineralwasser, Kesselspeisewasser, Kühlwasser und Thermalsole. Darüber hinaus bietet es verschiedene Dienstleistungen an, darunter die hydraulische Altlastensanierung, das Bohren von Gasförderbrunnen zur Deponiegasgewinnung, die mobile Umweltanalytik, Grundwassermessstellen und Wasserreinigungsanlagen sowie die Entnahme von Wasserproben. Außerdem erkundet das Unternehmen Vorkommen fossiler Brennstoffe wie Anthrazit, Öl und Gas sowie mineralische Rohstoffe wie Steinsalz, Kupfer, Nickel usw. Darüber hinaus erkundet und sichert es stillgelegte Bergbausysteme und baut Gasförderbrunnen zur Gewinnung von Grubengas. Die Daldrup & Söhne Aktiengesellschaft wurde 1946 gegründet und hat ihren Hauptsitz in Grünwald, Deutschland.
A1YC99;the_social_chain-aktie;Die Social Chain AG bietet weltweit Social Media Marketing Dienstleistungen an. Das Unternehmen beschäftigt sich mit der Entwicklung, dem Aufbau und der Skalierung von Social-Media-Marken. Das Unternehmen wurde 2014 gegründet und hat seinen Hauptsitz in Berlin, Deutschland, mit weiteren Büros in München, London, Manchester, New York, San Diego und Los Angeles.
A2ALS5;kuros_biosciences-aktie;Kuros Biosciences AG, ein biopharmazeutisches Unternehmen, beschäftigt sich mit der Vermarktung und Entwicklung von biopharmazeutischen Produkten zur Gewebereparatur und Knochenregeneration in den Vereinigten Staaten, der Europäischen Union und international. Das Unternehmen ist in den Bereichen Medizinprodukte, Pharmazeutika und Legacy Portfolio tätig. Zu den orthobiologischen Produkten in der Pipeline des Unternehmens gehören MagnetOs Granulat und MagnetOs Putty in der EU und den USA für die Behandlung von orthopädischen, Wirbelsäulen- und Zahnproblemen. Die orthobiologischen Fibrin-/PTH-Pipelineprodukte des Unternehmens umfassen KUR-111, das eine klinische Phase-2b-Studie zur Behandlung von Tibiaplateaufrakturen abgeschlossen hat, und KUR-113, das eine klinische Phase-2b-Studie zur Behandlung von Tibiaschaftfrakturen abgeschlossen hat und sich in der Phase-II-Studie zur Behandlung von Wirbelsäulenversteifungen befindet. Zu den Produkten in der Pipeline des Unternehmens gehören Neuroseal EU und US, ein synthetischer Gewebedichtstoff zur Verhinderung des Austretens von Liquor nach Schädel- oder Wirbelsäulenoperationen. Es besteht eine Zusammenarbeit mit Checkmate Pharmaceuticals LLC zur Entwicklung von CYT003 für die Behandlung von Krebserkrankungen. Der Hauptsitz des Unternehmens befindet sich in Schlieren, Schweiz.
A2N9MM;marinomed_biotech-aktie;"Marinomed Biotech AG, ein biopharmazeutisches Unternehmen, entwickelt Therapien für Patienten, die an schweren viralen Infektionskrankheiten und autoreaktiven Immunstörungen leiden, in Österreich, anderen europäischen Ländern und international. Das Unternehmen ist in zwei Segmenten tätig: Carragelose und Marinosolv. Das Unternehmen entwickelt Marinosolv, eine Technologieplattform, die die Bioverfügbarkeit von schwer löslichen Verbindungen für die Behandlung empfindlicher Gewebe wie Augen und Nase erhöht; und. Seine Produktpipeline umfasst Tacrosolv, das sich in der klinischen Phase II für vordere entzündliche Augenerkrankungen befindet; Inhaleen, das sich in der klinischen Phase I für virale Lungenentzündung befindet; Budesolv, das die klinische Phase III für die Behandlung von allergischer Rhinitis abgeschlossen hat; Flutisolv, das sich in der klinischen Phase II für entzündliche Erkrankungen der Nase befindet; und Carragelose, das aus Nasen- und Rachensprays und Lutschtabletten für die Behandlung viraler Atemwegsinfektionen besteht. Das Unternehmen war früher als Marinomed Biotechnologie GmbH bekannt und änderte im Juni 2017 seinen Namen in Marinomed Biotech AG. Die Marinomed Biotech AG wurde 2006 gegründet und hat ihren Hauptsitz in Korneuburg, Österreich."
A0KFKB;accentro_real_estate-aktie;Die ACCENTRO Real Estate AG ist zusammen mit ihren Tochtergesellschaften als Immobiliengesellschaft mit Schwerpunkt auf Wohnimmobilien in Deutschland tätig. Das Unternehmen ist im Verkauf von Eigentumswohnungen an Eigennutzer und Buy-to-Let-Investoren, im Verkauf von Immobilienportfolios an institutionelle Investoren, in der Verwaltung von Immobilienportfolios und in der Erbringung von Marketingdienstleistungen für Dritte tätig. Zum 31. Dezember 2021 bestand das Immobilienportfolio des Unternehmens aus 4.900 Einheiten. Das Unternehmen wurde 1993 gegründet und hat seinen Hauptsitz in Berlin, Deutschland. Die ACCENTRO Real Estate AG ist eine Tochtergesellschaft der Brookline Real Estate S.à r.l.
896261;mcbride_plc_ls_10-aktie;McBride plc produziert und verkauft zusammen mit seinen Tochtergesellschaften Eigenmarken für Haushalts- und Körperpflegeprodukte an Einzelhändler und Markeninhaber im Vereinigten Königreich, in Deutschland, Frankreich, Australien, im übrigen Europa, im übrigen Asien-Pazifik-Raum und international. Das Unternehmen ist in fünf Segmenten tätig: Flüssigprodukte, Pulver, Dosiereinheiten, Aerosole und Asien-Pazifik. Das Segment Flüssigprodukte bietet Waschmittel, Geschirrspülmittel und Oberflächenreiniger sowie Bleichmittel an. Das Segment Dosiereinheiten bietet Tabletten für Geschirrspüler, Waschkapseln und Wasserenthärter an. Das Segment Pulver bietet Waschmittel, Autogeschirrspülmittel, Fleckenentferner, Wasserenthärter und pulverförmige Reinigungsprodukte an. Das Segment Aerosole bietet Produkte für Haushalt, Körperpflege, Insektizide, Desinfektionsmittel und professionelle Reinigungsprodukte. Das Segment Asien-Pazifik bietet Hand-/Körperreinigungs- und Haarpflegeprodukte, Hautpflegeprodukte, Tabletten für Geschirrspüler und flüssige Waschmittel an. Das Unternehmen bietet Produkte unter den Marken Surcare, Oven Pride, Clean N Fresh, Hospec und Actiff an. Das Unternehmen wurde 1927 gegründet und hat seinen Sitz in Manchester, Vereinigtes Königreich.
A2ANWB;gaia_inc_a_dl_0001-aktie;"Gaia, Inc. betreibt einen digitalen Video-Abonnementdienst und eine Online-Community für eine unterversorgte Mitgliederbasis in den Vereinigten Staaten, Kanada, Australien und international. Das Unternehmen verfügt über eine digitale Inhaltsbibliothek mit verschiedenen Titeln in spanischer, deutscher und französischer Sprache, die seinen Abonnenten auf Geräten mit Internetanschluss zur Verfügung stehen. Das Netzwerk des Unternehmens umfasst den Yoga-Kanal, der Zugang zu Yoga, östlichen Künsten und anderen bewegungsbasierten Kursen bietet; den Transformation-Kanal, der Inhalte in den Bereichen spirituelles Wachstum, persönliche Entwicklung und Bewusstsein anbietet; den Alternative Healing-Kanal, der Inhalte anbietet, die sich auf Lebensmittel und Ernährung, ganzheitliche Heilung, alternative und integrative Medizin und Langlebigkeit konzentrieren; und den Seeking Truth-Kanal, der kategorieführende Talente anbietet, die es ermöglichen, Redner, Autoren und Experten in der alternativen Medienwelt zu gewinnen. Gaia, Inc. war früher als Gaiam, Inc. bekannt und änderte im Juli 2016 seinen Namen in Gaia, Inc. Das Unternehmen wurde 1988 gegründet und hat seinen Hauptsitz in Louisville, Colorado."
A2G8XP;aifinyo_ag-aktie;Die aifinyo AG bietet in Deutschland verschiedene Finanzlösungen an. Das Unternehmen bietet Leasing-Dienstleistungen, Factoring-Dienstleistungen für Unternehmer und Freiberufler, Abrechnungsdienstleistungen, Cash-Flow-Dienstleistungen, Fine-Trading-Factoring, internationale Transferdienstleistungen, Inkassodienstleistungen und API-Integrationsdienstleistungen. Das Unternehmen bedient die Branchen E-Commerce, Lebensmittel und Getränke, Schönheitspflege, Gesundheitspflege sowie Mode und Accessoires. Das Unternehmen war früher als Elbe Finanzgruppe AG bekannt und änderte seinen Namen im Juli 2019 in aifinyo AG. aifinyo AG wurde 2017 gegründet und hat seinen Hauptsitz in Berlin, Deutschland.
A0ETPA;forsys_metals-aktie;Forsys Metals Corp. ist ein Explorationsunternehmen, das sich mit dem Erwerb, der Exploration und der Erschließung von Mineralgrundstücken in Namibia, Afrika, befasst. Das Unternehmen exploriert nach Uran- und Goldvorkommen. Das Vorzeigeprojekt des Unternehmens ist das Norasa-Uranprojekt, zu dem auch das Valencia-Projekt mit einer Fläche von 735,6 Hektar südwestlich der Stadt Usakos im Zentralwesten Namibias und das Namibplaas-Projekt nordöstlich von Valencia gehören. Das Unternehmen war früher als Forsys Technologies Inc. bekannt und änderte im Juni 2005 seinen Namen in Forsys Metals Corp. um. Forsys Metals Corp. wurde 1985 gegründet und hat seinen Hauptsitz in Toronto, Kanada.
940883;ad_pepper_media-aktie;ad pepper media International N.V. bietet über ihre Tochtergesellschaften Online-Marketing-Services in Deutschland, Italien, Frankreich, Spanien, der Schweiz, den Niederlanden, Großbritannien und international an. Das Unternehmen ist in drei Segmenten tätig: ad pepper, ad agents und Webgains. Das Segment ad pepper bietet Performance-Marketing-Agenturleistungen an, die auf die Lead-Generierung spezialisiert sind. Es betreibt iLead, eine Plattform, die die Erstellung von maßgeschneiderten Kampagnen für Kunden ermöglicht. Das Segment ad agents bietet Marketing- und Vertriebslösungen in verschiedenen digitalen Kanälen und auf Geräten an. Das Segment ist spezialisiert auf Konzeption, Management und Optimierung, Affiliate Management, Produktdatenmanagement, Social Media Advertising, Analytics und Daten, Werbemittel, Banner- und Video-Ads, Display Advertising, Consulting und Social Media Advertising sowie Amazon und Google Marketing Platform. Das Segment Webgains bietet Lösungen für Affiliate-Marketing-Netzwerke an. ad pepper media International N.V. wurde 1999 gegründet und hat seinen Hauptsitz in Nürnberg, Deutschland.
A0KF6M;hanseyachts-aktie;Die HanseYachts AG fertigt und vertreibt weltweit Segel- und Motoryachten. Sie bietet ihre Produkte unter den Marken Hanse, Dehler, Moody, Fjord, Sealine und Ryck an. Das Unternehmen wurde 1990 gegründet und hat seinen Hauptsitz in Greifswald, Deutschland.
A1X3W0;medigene-aktie;Die Medigene AG, ein Biotechnologieunternehmen, konzentriert sich auf die Entwicklung von T-Zell-Immuntherapien zur Behandlung von Krebs. Das Unternehmen entwickelt personalisierte T-Zell-basierte Therapien mit einem Schwerpunkt auf T-Zell-Rezeptor-modifizierten T-Zellen in Bereichen mit ungedecktem medizinischem Bedarf, die sich in der klinischen Entwicklung befinden. Es konzentriert sich auch auf Impfstoffe aus dendritischen Zellen und T-Zell-spezifische monoklonale Antikörper. Darüber hinaus konzentriert sich das Unternehmen auf die Entwicklung und Vermarktung von RhuDex für hepatologische und gastroenterologische Indikationen. Medigene AG hat eine strategische Partnerschaft mit 2seventy bio, Inc. für die Entwicklung von T-Zell-Rezeptoren. Das Unternehmen hat außerdem Forschungskooperationen zu neuartigen Krebsantigenen für Immuntherapien mit der Université de Montréal und mit Cytovant Sciences Co. Ltd. Es ist in Europa, den Vereinigten Staaten, Asien und international tätig. Das Unternehmen wurde 1994 gegründet und hat seinen Hauptsitz in München, Deutschland.
A3DRAE;smt_scharf-aktie;Die SMT Scharf AG ist auf dem Gebiet der Transporttechnik tätig. Die SMT-Gruppe ist sowohl mit der Errichtung von Neuanlagen als auch mit Serviceleistungen befasst. Der Fokus liegt jedoch auf dem Kerngeschäft Bahnen. Hauptprodukte der Gesellschaft im Bereich Neuanlagen sind Einschienenhängebahnen und Schienenflurbahnen für den Einsatz in Tunneln sowie im Bergbau. Verwendet werden die Produkte vorwiegend in Steinkohle- und Erzbergwerken zum Transport von Material und Mitarbeitern. Wesentliche Merkmale der Einschienenhängebahnen und Schienenflurbahnen sind die entgleisungssichere Fahrweise an einer hängenden Schiene bzw. auf einem liegenden Schienenstrang und der verteilte Aufbau der Antriebsaggregate. Sie bestehen in der Regel aus zwei Fahrerkabinen, einem Maschinenteil, einem Kühlteil und vier bis sechs Triebwerken. Weitere Produktgruppen sind Sessellifte, Teilschnittmaschinen, hydraulische Antriebe und Ausrüstungen zum Streckenausbau. Für die von ihr ausgelieferten Systeme stellt die SMT-Gruppe die Versorgung mit Ersatzteilen sicher. Daneben erbringt das Unternehmen Wartungsarbeiten und kleinere Instandsetzungen untertage am Einsatzort sowie Instandsetzungen größeren Umfangs, z. B. Motorüberholungen, in ihren Werkstätten. Copyright 2021 facunda financial data GmbH
A2YN77;pferdewetten_de-aktie;Die pferdewetten.de AG (ehemals sportwetten.de AG) ist eine Holding mit Geschäftstätigkeiten in der Wettbranche. Sie berät die Tochtergesellschaften und andere in der Wettbranche tätigen Firmen und (Renn-)Vereine. Darüber hinaus werden die Aktivitäten der Tochterunternehmen koordiniert. Das Angebot umfasst dabei insbesondere Online-Pferdewetten, die durch stationäre Pferde-Wettcenter flankiert werden. Im Bereich der Online-Pferdewetten ist die Gesellschaft mit ihrer Internet-Plattform pferdewetten.de einer der Marktführer in Deutschland. Im Segment Online-Sportwetten, die unter sportwetten.de angeboten werden, agiert die Gesellschaft als Mittler. Bis zur endgültigen Klärung der rechtlichen Situation für Sportwetten in Deutschland konzentriert sich die Gesellschaft in diesem Segment auf die Internationalisierung der Sportwette. In div. Bundesländern werden jedoch weiterhin Sportwett-Shops betrieben. Die Gesellschaft verfügt über in Deutschland (Pferdewetten) und Malta erteilte Lizenzen. Copyright 2021 facunda financial data GmbH
895464;pharol-aktie;Pharol, SGPS S.A., bietet über seine Beteiligung an Oi, S.A. Glasfaserdienste für Privatkunden in Brasilien an. Das Unternehmen war früher unter dem Namen Portugal Telecom, SGPS, SA bekannt und änderte im Mai 2015 seinen Namen in Pharol, SGPS S.A.. Pharol, SGPS S.A. wurde 1877 gegründet und hat seinen Hauptsitz in Lissabon, Portugal.
A0V9LA;datron-aktie;Die DATRON AG entwirft, entwickelt, fertigt und vertreibt weltweit verschiedene Bearbeitungssysteme. Das Unternehmen bietet CNC-Fräsmaschinen für Hochgeschwindigkeitsfräsen und 3D-Gravur, Automatisierungsprodukte, einschließlich automatischer Türen, Schnittstellen zu interner Hardware und externer Automatisierung sowie Software-Schnittstellen und -Lösungen, und 3D- und 2D-CAD/CAM-Softwareprodukte. Das Unternehmen bietet auch CNC-Zubehör und -Technologien an, darunter Werkzeugwechsler, Sensorsysteme, Kühl-/Schmiersysteme, Spannsysteme, Achsenverlängerungen, Produkte zur Späne-/Staubentsorgung sowie Maschinenzubehör und Verbrauchsmaterialien. Darüber hinaus bietet das Unternehmen Dentalfräsmaschinen für die Bearbeitung verschiedener Materialien in Dentallaboren, neue und gebrauchte Dosiergeräte zum Kleben, Versiegeln und Gießen, Dosiersysteme und -köpfe sowie Dosiersystemzubehör wie Sprühköpfe, Dosierdüseneinstellungen, Sensoren, Werkstücksensoren, Füllstandssensoren, Abstandssensoren und Softwareprodukte. Darüber hinaus bietet das Unternehmen CNC-Fräswerkzeuge an, darunter Kreuzfräser, Schaftfräser mit verschiedenen Spannuten, mikroverzahnte Schaftfräser, Gewindefräser, Kugelkopffräser/Außenradiusfräser, T-Nutenfräser/Schwalbenschwanzfräser, Bohrer, Senker/Frässenker, Acrylfräser, Stirnfräser, Gravierwerkzeuge, Schaumstofffräser, Diamantfräser und Dentalfräser. Darüber hinaus bietet es Kundendienstleistungen an, die Beratungs- und Schulungsdienste sowie Fernwartung, Vor-Ort-Service, Produktionsunterstützung und Software-Updates und -Upgrades umfassen. Das Unternehmen war früher unter dem Namen DATRON-Electronic GmbH bekannt und änderte 2008 seinen Namen in DATRON AG. Die DATRON AG wurde 1969 gegründet und hat ihren Sitz in Mühltal, Deutschland.
593273;yoc-aktie;Die YOC AG bietet mobile Werbetechnologie-Lösungen in Deutschland, Österreich und Polen an. Sie entwickelt digitale Werbeformate für den automatisierten Handel über ihren Marktplatz. Zu den Produkten des Unternehmens gehören VIS.X, eine Go-to-Plattform für programmatische Werbung, YOC Inline Video Ad für das Teilen von Botschaften über Display- und Videoplatzierungen sowie YOC Understitial Ad, ein nutzerinitiiertes Format, bei dem der Nutzer die Anzeige durch Scrollen nach oben oder unten einblenden kann. Darüber hinaus bietet das Unternehmen das YOC Mystery Ad, bei dem der Nutzer direkt mit der Kampagne interagieren kann, den YOC Mystery Scroller, eine reaktive Scroll-Technologie, die es dem Nutzer ermöglicht, mit Werbebotschaften zu interagieren, das YOC Ads Plus, das verschiedene Produktvariationen bietet, sowie das YOC Branded Takeover, das eine Kombination aus verschiedenen Werbeformaten darstellt. Das Unternehmen wurde 2001 gegründet und hat seinen Hauptsitz in Berlin, Deutschland.
A3H3L4;2invest-aktie;Die 2invest AG, eine Beteiligungsgesellschaft, erwirbt, hält, verwaltet und veräußert Beteiligungen an Unternehmen und Personengesellschaften vornehmlich aus den Bereichen Biotechnologie, Life Science und IT in Deutschland und international. Das Unternehmen war früher unter dem Namen 4basebio AG bekannt und änderte im Januar 2021 seinen Namen in 2invest AG. Die 2invest AG hat ihren Sitz in Heidelberg, Deutschland.
521830;mobotix-aktie;"Die Mobotix AG fertigt und vertreibt weltweit intelligente IP-Videosicherheitssysteme. Zu den Outdoor-Kameraprodukten des Unternehmens gehören IoT-Kameras, Videotechnologien, Allrounddual-, Dualdome-, Dualflex-, Vandalismus-, Hemisphären-, Dome- und Flex-Kameras; IP-Video-Türstationen sowie 360-Grad-, 180-Grad-, Dome- und PT-Kameras für den Innenbereich. Das Unternehmen bietet Thermografiekameras und Systemkomponenten wie Umweltsensoren, Infrarotstrahler, Alarmsysteme, Raumthermostate, Steuerrelais und elektrische Antriebe für Jalousien und Schranken. Darüber hinaus bietet das Unternehmen die MOBOTIX MOVE-Kamera, ein zentrales Videosystem, und eine Videoanalyselösung mit kameraintegrierter Videoanalyse, genauer Personenzählung, Erkennung von Überbelegung, Erkennung von Temperaturanomalien, Schutz von Bereichen und Erkennung von Masken sowie Zugangskontrollprodukte. Hinzu kommen MOBOTIX HUB, eine Videomanagement-Plattform, MOBOTIX CLOUD, eine agile und dynamische Plattform, MxManagmentCenter, ein MOBOTIX-Videomanagementsystem für Windows und macOS, MOBOTIX LIVE, eine Anwendung für den Zugriff auf MOBOTIX-Kameras und Türstationen, und MOBOTIX MOVE Netzwerk-Videorekorder, eine Plug-and-Play-Lösung für lokale Videoüberwachungssysteme. Das Unternehmen bietet über Distributoren, Händler und Partner Lösungen für die Bereiche Industrie, Produktion, Energie, Versorgung, Bergbau, Behörden, Einzelhandel, Bildung und Wissenschaft, Gesundheitswesen, Hotel und Gastronomie, Logistik und Schifffahrt, Kultur und Tourismus sowie Transport und Mobilität an. Die Mobotix AG wurde 1999 gegründet und hat ihren Hauptsitz in Winnweiler, Deutschland."
A2PXQD;tubesolar_ag-aktie;Die TubeSolar AG produziert und vertreibt Photovoltaik-Dünnschichtröhren für den landwirtschaftlichen Bereich. Das Unternehmen hat seinen Hauptsitz in Augsburg, Deutschland.
